MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-04,01/01/2003 14:15,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5115,S BROADWAY,17,NA,NA,5115,BROADWAY,894672.5,995003.7
2010-04,01/01/2009 12:00,Y,NA,NA,1,121000,9,EMBEZZLEMENT-VALUE OVER $150,NA,SCOTT AVE,37,RELIABLE INSURANCE,@RELIABLE INSURANCE,2665,SCOTT,900456.3,1017035
2010-04,01/01/2009 12:00,Y,NA,NA,1,121000,9,EMBEZZLEMENT-VALUE OVER $150,NA,SCOTT AVE,37,RELIABLE INSURANCE,NA,2665,SCOTT,900456.3,1017035
2010-04,01/01/2010 00:01,Y,NA,NA,1,21000,2,RAPE -- FORCIBLE,5900,S KINGSHIGHWAY BLVD,6,NA,NA,5900,KINGSHIGHWAY,882164.6,999102.2
2010-04,01/01/2010 12:00,Y,NA,NA,1,52312,8,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4902,NATURAL BRIDGE AVE,55,NA,NA,4902,NATURAL BRIDGE,891889.3,1034635
2010-04,01/01/2010 13:39,Y,NA,NA,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,3501,FRANKLIN AVE,77,NA,NA,3501,FRANKLIN,898334,1022420
2010-04,01/01/2010 23:00,Y,NA,NA,1,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3419,TENNESSEE AVE,30,NA,NA,1928,ADELAIDE,894343,1005425
2010-04,01/11/2010 10:38,Y,NA,NA,1,51312,8,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4654,NATURAL BRIDGE AVE,56,NA,NA,4654,NATURAL BRIDGE,893510.3,1033772
2010-04,01/12/2010 05:00,Y,NA,NA,1,69702,2,LARCENY-ALL OTHER UNDER $500,5027,WINONA AVE,7,NA,NA,5027,WINONA,883747.8,1004093
2010-04,01/19/2010 12:00,Y,NA,NA,1,115100,7,FRAUD-STEALING BY DECEIT/OVER $150,6177,DELMAR BLVD,46,NA,NA,6177,DELMAR,877404.6,1027557
2010-04,01/20/2010 09:24,Y,NA,NA,1,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4720,N 20TH ST,66,NA,NA,4720,20TH,903209.7,1033402
2010-04,01/22/2010 02:30,Y,NA,NA,1,265321,4,LEAVING SCENE OF ACCIDENT,0,N TUCKER BLVD / WASH,35,NA,NA,NA,NA,906851.2,1019079
2010-04,01/24/2010 03:00,Y,NA,NA,1,265321,2,LEAVING SCENE OF ACCIDENT,6027,CHIPPEWA ST,9,NA,NA,4977,THOLOZAN,878555.8,1005136
2010-04,01/25/2010 12:00,NA,Y,NA,-1,72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,4208,THOLOZAN,15,NA,NA,4208,THOLOZAN,0,0
2010-04,01/30/2010 01:50,Y,NA,NA,1,265321,1,LEAVING SCENE OF ACCIDENT,8658,S BROADWAY,2,NA,NA,8658,BROADWAY,886948.7,985125.4
2010-04,02/01/2010 00:01,Y,NA,NA,1,179210,8,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4500,LEXINGTON AVE,56,NA,NA,4500,LEXINGTON,894777.7,1032815
2010-04,02/01/2010 08:00,Y,NA,NA,1,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3009,PENNSYLVANIA AVE,25,NA,APARTMENT,3009,PENNSYLVANIA,896671.4,1008122
2010-04,02/01/2010 10:00,Y,NA,NA,1,67701,7,LARCENY-FROM BUILDING UNDER $500,6105,ETZEL AVE,48,NA,NA,6105,ETZEL,879425.1,1031441
2010-04,02/03/2010 01:00,NA,Y,NA,-1,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5477,GENEVIEVE,72,NA,NA,5477,GENEVIEVE,0,0
2010-04,02/05/2010 08:00,Y,NA,NA,1,51312,9,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4337,SWAN AVE,39,NA,NA,4337,SWAN,889295.1,1016931
