MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-08,01/01/2002 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2020,MENARD ST,21,NA,NA,2020,MENARD,903887.1,1010163
2010-08,01/01/2004 00:01,Y,NA,NA,1,179210,9,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3800,LINDELL BLVD,37,NA,NA,3800,LINDELL,894714.5,1021303
2010-08,01/01/2005 00:01,Y,NA,NA,1,179220,2,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,1100,ART HILL PL,42,NA,NA,1100,ART HILL,879101.4,1018300
2010-08,01/01/2007 00:00,Y,NA,NA,1,52312,9,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4055,LACLEDE AVE,38,NA,APARTMENT COMPLEX,4055,LACLEDE,892778,1021017
2010-08,01/01/2008 00:01,Y,NA,NA,1,179210,2,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5800,NASHVILLE AVE,41,NA,NA,5800,NASHVILLE,881802.6,1016509
2010-08,01/01/2010 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3870,ARSENAL ST,15,NA,NA,3870,ARSENAL,892044.1,1008549
2010-08,01/01/2010 20:10,NA,NA,Y,1,64711,9,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4239,LINDELL,38,NA,THE SOL PARKING LOT,4239,LINDELL,0,0
2010-08,01/01/2010 20:10,NA,NA,Y,-1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4239,LINDELL,38,NA,THE SOL PARKING LOT,4239,LINDELL,0,0
2010-08,01/02/2008 06:17,Y,NA,NA,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36,NA,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2010-08,01/04/2009 08:50,NA,Y,NA,-1,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1700,HICKORY,32,NA,NA,NA,NA,0,0
2010-08,01/07/2010 22:30,NA,NA,Y,1,64711,9,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4435,WESTMINSTER,38,NA,NA,4435,WESTMINSTER,0,0
2010-08,01/07/2010 22:30,NA,NA,Y,-1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4435,WESTMINSTER,38,NA,NA,4435,WESTMINSTER,0,0
2010-08,01/09/2010 11:56,Y,NA,NA,1,121000,1,EMBEZZLEMENT-VALUE OVER $150,2854,KEOKUK ST,16,NA,NA,2854,KEOKUK,896245.4,1001947
2010-08,01/11/2010 21:55,NA,NA,Y,1,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3933,CLEVELAND,27,NA,NA,3933,CLEVELAND,0,0
2010-08,01/11/2010 21:55,NA,NA,Y,-1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3933,CLEVELAND,27,NA,NA,3933,CLEVELAND,0,0
2010-08,01/12/2010 00:15,NA,NA,Y,1,65711,6,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT,4905,GENEVIEVE,72,NA,NA,4905,GENEVIEVE,0,0
2010-08,01/12/2010 00:15,NA,NA,Y,-1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4905,GENEVIEVE,72,NA,NA,4905,GENEVIEVE,0,0
2010-08,01/14/2010 19:00,NA,NA,Y,1,64701,8,LARCENY-FROM MTR VEH UNDER $500,4454,LEXINGTON,56,NA,NA,4454,LEXINGTON,0,0
2010-08,01/14/2010 19:00,NA,NA,Y,-1,142320,8,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4454,LEXINGTON,56,NA,NA,4454,LEXINGTON,0,0
2010-08,01/20/2010 21:00,NA,NA,Y,1,64701,1,LARCENY-FROM MTR VEH UNDER $500,3719,MERAMEC,16,NA,NA,3719,MERAMEC,0,0
