MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-12,01/01/2007 12:01,Y,NA,NA,1,172310,4,SEX OFFNS-STATUATORY SODOMY/SECOND,1300,N 8TH ST,62,NA,NA,1300,8TH,908990.3,1021224
2010-12,01/31/2010 02:01,NA,NA,Y,1,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2543,GRAND,59,NA,NA,NA,NA,0,0
2010-12,01/31/2010 02:01,NA,NA,Y,-1,31112,5,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,2543,GRAND,59,NA,NA,NA,NA,0,0
2010-12,02/01/2010 07:00,Y,NA,NA,1,69502,6,"LARCENY-ALL OTHER OVER $25,000",3,UNION 70 CENTER PKWY,70,PALMER LSING INC,NA,NA,NA,889338.4,1040597
2010-12,02/13/2004 00:01,Y,NA,NA,1,21000,3,RAPE -- FORCIBLE,2700,ACCOMAC ST,24,NA,NA,2700,ACCOMAC,898794.6,1010872
2010-12,02/20/2009 03:00,NA,Y,NA,-1,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2020,WITHNELL,22,NA,NA,2020,WITHNELL,0,0
2010-12,03/05/2002 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2635,NEBRASKA AVE,25,NA,NA,2635,NEBRASKA,897314.2,1009610
2010-12,03/09/2010 15:00,Y,NA,NA,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4274,E SACRAMENTO AVE,68,NA,NA,4274,SACRAMENTO,896462.1,1032615
2010-12,03/10/2010 21:00,NA,NA,Y,1,44013,6,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",4533,DAVISON,72,NA,NA,4533,DAVISON,0,0
2010-12,03/10/2010 21:00,NA,NA,Y,-1,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4533,DAVISON,72,NA,NA,4533,DAVISON,0,0
2010-12,04/01/2003 12:29,Y,NA,NA,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5528,SAINT LOUIS AVE,50,NA,ALIAS 5528 ST LOUIS AVE CITY,5528,SAINT LOUIS,886370.4,1035637
2010-12,04/01/2010 08:00,Y,NA,NA,1,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,1900,PINE ST,36,E.H. LYLE ACADEMY,NA,3000,13TH,903904.8,1018757
2010-12,05/15/2010 10:30,Y,NA,NA,1,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7939,N BROADWAY,74,NA,NA,7939,BROADWAY,897043.3,1046872
2010-12,05/21/2010 09:45,NA,Y,NA,-1,64701,8,LARCENY-FROM MTR VEH UNDER $500,1408,KINGSHIGHWAY,53,NA,NA,1408,KINGSHIGHWAY,0,0
2010-12,06/02/2009 00:01,Y,NA,NA,1,42026,5,ASSLT-AGGRV-KNIFE/CUT-3RD-CHILD-DOMESTIC,5338,GRANT ST,68,NA,NA,5338,GRANT,901033.4,1034697
2010-12,06/08/2010 13:44,Y,NA,NA,1,265321,1,LEAVING SCENE OF ACCIDENT,0,HURCK ST / MINNESOTA,2,NA,NA,NA,NA,887303.9,986866.1
2010-12,06/23/2010 12:00,Y,NA,NA,1,51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4332,ARSENAL ST,15,NA,NA,4232,ARSENAL,888084.2,1009010
2010-12,07/04/2010 00:01,NA,Y,NA,-1,21000,8,RAPE -- FORCIBLE,1600,NA,55,NA,NA,4900,DONOVAN,0,0
2010-12,07/22/2010 17:50,NA,NA,Y,1,103000,7,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1301,UNION,78,PETE`S SUR SAVE MARKET,NA,1301,UNION,0,0
2010-12,07/29/2010 08:02,Y,NA,NA,1,101000,1,FORGERY,6711,MICHIGAN AVE,1,NA,NA,6711,MICHIGAN,890544.9,991275
