MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-01,01/01/2003 15:00,Y,NA,NA,1,172300,5,SEX OFFNS-STATUATORY SODOMY/FIRST,1400,PENROSE ST,65,NA,NA,NA,NA,905013.9,1031774
2010-01,01/01/2005 08:00,Y,NA,NA,1,23000,5,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2800,MONTGOMERY ST,59,NA,NA,2800,MONTGOMERY,901060.3,1026457
2010-01,01/01/2007 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3008,MAGNOLIA AVE,25,NA,NA,3008,MAGNOLIA,896867.1,1009094
2010-01,01/01/2009 08:00,Y,NA,NA,1,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4752,LOUISIANA AVE,16,NA,NA,4752,LOUISIANA,892262.1,997227.7
2010-01,01/01/2009 09:27,Y,NA,NA,1,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5400,ARLINGTON AVE,71,NA,NA,5400,ARLINGTON,893373,1041773
2010-01,01/01/2009 19:00,Y,NA,NA,1,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4964,DAVISON AVE,72,NA,NA,4964,DAVISON,891009.9,1041305
2010-01,01/01/2009 21:00,Y,NA,NA,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3745,MERAMEC ST,16,NA,NA,3745,MERAMEC,892383.9,1001176
2010-01,01/01/2010 00:00,Y,NA,NA,1,64701,1,LARCENY-FROM MTR VEH UNDER $500,4450,GRAVOIS AVE,5,TOP TIN TOWING,NA,4450,GRAVOIS,888365.2,1001966
2010-01,01/01/2010 00:01,Y,NA,NA,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2850,SHENANDOAH AVE,24,NA,NA,2850,SHENANDOAH,897663.1,1010392
2010-01,01/01/2010 00:01,Y,NA,NA,1,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1317,WASHINGTON AVE,36,THE SIDEBAR,NA,1317,WASHINGTON,906240.7,1019290
2010-01,01/01/2010 00:01,Y,NA,NA,1,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3652,S JEFFERSON AVE,18,GERMAN CULTURAL SOCIETY,NA,NA,NA,898580.3,1003136
2010-01,01/01/2010 00:01,Y,NA,NA,1,41201,1,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,4650,IDAHO AVE,16,NA,REAR YARD,4600,VIRGINIA,893390.8,997669.7
2010-01,01/01/2010 00:01,Y,NA,NA,1,41201,1,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,4650,IDAHO AVE,16,NA,REAR YARD,4600,VIRGINIA,893390.8,997669.7
2010-01,01/01/2010 00:01,Y,NA,NA,1,263120,5,OBSTRUCT GOVRN OP-FALSE REPORT,2136,ALICE AVE,68,NA,UNIT 1,2136,ALICE,900619.3,1034487
2010-01,01/01/2010 00:01,Y,NA,NA,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4464,ELLENWOOD AVE,5,NA,NA,4464,ELLENWOOD,885940.4,1002592
2010-01,01/01/2010 00:01,Y,NA,NA,1,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,811,SPRUCE ST,35,NA,NA,811,SPRUCE,907472.1,1015934
2010-01,01/01/2010 00:01,Y,NA,NA,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7004,SOUTHLAND AVE,8,NA,NA,7004,SOUTHLAND,878608.5,997561.9
2010-01,01/01/2010 00:01,Y,NA,NA,1,21000,9,RAPE -- FORCIBLE,2900,JAMES COOL PAPA BELL,59,NA,NA,2900,JAMES COOL PAPA BELL,900547.4,1023157
2010-01,01/01/2010 00:01,NA,Y,NA,-1,21000,9,RAPE -- FORCIBLE,2900,JAMES COOL PAPA BELL,59,NA,NA,2900,JAMES COOL PAPA BELL,900547.4,1023157
2010-01,01/01/2010 00:04,Y,NA,NA,1,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,3616,N 23RD ST,65,NA,NA,3616,23RD,904002.3,1028631
