MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-07,01/01/1982 00:01,Y,NA,NA,1,172100,2,SEX OFFNS-SODOMY/FORCIBLE,6600,NOTTINGHAM AVE,8,NA,NA,6600,NOTTINGHAM,875372.4,1002992
2010-07,01/01/2004 07:00,Y,NA,NA,1,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2200,UNIVERSITY ST,60,NA,BLOCK,3200,NEBRASKA,904528.1,1026706
2010-07,01/01/2005 10:44,Y,NA,NA,1,171200,1,SEX OFFNS-STATUATORY RAPE/FIRST,5200,LOUISIANA AVE,1,NA,NA,5200,LOUISIANA,891664.5,996314.1
2010-07,01/01/2006 10:21,Y,NA,NA,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4960,KEMPER AVE,13,NA,NA,4960,KEMPER,885406.8,1008727
2010-07,01/01/2008 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2632,LOUISIANA AVE,25,NA,NA,2632,LOUISIANA,895518.8,1009790
2010-07,01/01/2008 09:56,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3455,HALLIDAY AVE,25,NA,NA,3455,HALLIDAY,894782.6,1009349
2010-07,01/01/2010 00:01,Y,NA,NA,1,69602,3,"LARCENY-ALL OTHER $500 - $24,999",3162,S COMPTON AVE,25,FOUR-FAMILY UNOCCUPIED,NA,3162,COMPTON,895796.2,1007305
2010-07,01/01/2010 00:01,Y,NA,NA,1,21000,7,RAPE -- FORCIBLE,5100,ENRIGHT AVE,51,NA,NA,5100,ENRIGHT,887202.8,1026799
2010-07,01/01/2010 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3726,NEBRASKA AVE,19,NA,NA,3726,NEBRASKA,896452.6,1003015
2010-07,01/01/2010 09:41,Y,NA,NA,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6928,MARQUETTE AVE,9,NA,NA,6928,MARQUETTE,874770.6,1007444
2010-07,01/01/2010 15:00,Y,NA,NA,1,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5106,ROBIN AVE,72,NA,NA,5106,ROBIN,890415.7,1043348
2010-07,02/01/2010 15:00,Y,NA,NA,1,43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1220,WARREN ST,63,NA,NA,1220,WARREN,907350.3,1025616
2010-07,02/03/2010 12:00,Y,NA,NA,1,242000,1,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4230,ELLENWOOD AVE,5,NA,NA,4230,ELLENWOOD,887569.2,1001866
2010-07,02/10/2010 15:00,Y,NA,NA,1,65701,1,LARCENY-MTR VEH PARTS UNDER $500,4604,QUINCY ST,4,NA,APT 1E,4604,QUINCY,881759.3,995680.1
2010-07,02/13/2010 18:21,Y,NA,NA,1,263230,4,OBSTRUCT GOVRN OP-JUDIC/HINDR PROSECUTION,1200,CLARK AVE,36,NA,STREET,1200,CLARK,905878.5,1016618
2010-07,02/16/2010 12:20,Y,NA,NA,1,92000,6,SIMPLE ASSAULT-HARRASSMENT,1061,HORNSBY AVE,74,NA,NA,1061,HORNSBY,895811.3,1050838
2010-07,02/26/2010 11:31,Y,NA,NA,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,3803,S BROADWAY,16,REGIONS BANK,REGIONS BANK,3803,BROADWAY,898121,1002262
2010-07,02/26/2010 19:51,Y,NA,NA,1,121000,6,EMBEZZLEMENT-VALUE OVER $150,4345,NATURAL BRIDGE AVE,68,RENT-A-CENTER,NA,4345,NATURAL BRIDGE,895770.5,1032668
2010-07,02/27/2010 12:00,Y,NA,NA,1,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4108,NEBRASKA AVE,16,NA,NA,4108,NEBRASKA,896066.1,1000587
2010-07,03/01/2010 08:00,Y,NA,NA,1,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2501,N BROADWAY,64,NA,NA,2501,BROADWAY,908708.6,1026081
