MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-06,01/01/1999 00:01,Y,NA,NA,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5200,DEWEY AVE,3,NA,NA,5200,DEWEY,890277.9,997565.7
2010-06,01/01/1999 00:01,Y,NA,NA,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5200,DEWEY AVE,3,NA,NA,5200,DEWEY,890277.9,997565.7
2010-06,01/01/2002 12:11,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2917,S COMPTON AVE,25,NA,NA,2917,COMPTON,895804.6,1008581
2010-06,01/01/2004 10:40,Y,NA,NA,1,67701,1,LARCENY-FROM BUILDING UNDER $500,4635,RIDGEWOOD AVE,5,NA,NA,4635,RIDGEWOOD,885236.3,1001889
2010-06,01/01/2006 00:01,Y,NA,NA,1,172100,9,SEX OFFNS-SODOMY/FORCIBLE,1700,LONGFELLOW PL,31,NA,NA,1700,LONGFELLOW,897181.9,1012986
2010-06,01/01/2009 09:40,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3657,KEOKUK ST,16,NA,NA,3657,KEOKUK,892547.5,1002611
2010-06,01/01/2010 00:01,Y,NA,NA,1,175400,3,SEX OFFNS-SX MISCONDUCT/SECOND,2600,MISSOURI AVE,22,NA,NA,2600,MISSOURI,900204.8,1008794
2010-06,01/01/2010 08:00,Y,NA,NA,1,172100,8,SEX OFFNS-SODOMY/FORCIBLE,4600,ELMBANK AVE,56,NA,NA,4600,ELMBANK,893125.2,1032863
2010-06,01/06/2010 17:53,Y,NA,NA,1,262100,1,PORNAGRAPHY-PROMOTING,4639,WILCOX AVE,5,NA,NA,4639,WILCOX,884717.5,1001041
2010-06,01/13/2010 21:00,NA,NA,Y,1,44015,8,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3330,KINGSHIGHWAY,55,NA,NA,3330,KINGSHIGHWAY,0,0
2010-06,01/13/2010 21:00,NA,NA,Y,-1,91114,8,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3330,KINGSHIGHWAY,55,NA,NA,3330,KINGSHIGHWAY,0,0
2010-06,01/15/2009 10:00,Y,NA,NA,1,52322,3,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,1250,S 3RD ST,20,PUBLIC STORAGE,NA,1250,3RD,907790.2,1012551
2010-06,01/15/2010 09:00,Y,NA,NA,1,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4700,EICHELBERGER ST,6,SOUTHSIDE AUTOMOTIVE,NA,4700,EICHELBERGER,884176.8,1000018
2010-06,01/15/2010 09:00,NA,Y,NA,-1,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4700,EICHELBERGER ST,6,SOUTHSIDE AUTOMOTIVE,NA,4700,EICHELBERGER,884176.8,1000018
2010-06,01/29/2009 15:00,Y,NA,NA,1,44026,8,ASLT-AGGRV-HND/FST/FT-3RD-CHILD-DOMESTIC,4826,LABADIE AVE,55,NA,NA,4826,LABADIE,891270,1032805
2010-06,01/30/2001 09:48,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4663,S 38TH ST,16,NA,NA,4663,38TH,890911.3,999255
2010-06,02/01/2009 10:08,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5000,S BROADWAY,17,NA,NA,5000,BROADWAY,895197.3,995178.8
2010-06,02/01/2010 00:01,Y,NA,NA,1,69602,3,"LARCENY-ALL OTHER $500 - $24,999",4256,MAGNOLIA AVE,81,NA,TOWER GROVE PARK,4256,MAGNOLIA,890086.2,1009696
2010-06,02/05/2010 08:00,Y,NA,NA,1,67701,3,LARCENY-FROM BUILDING UNDER $500,2634,WYOMING ST,30,NA,NA,2634,WYOMING,898413.1,1006267
2010-06,02/10/2010 23:44,NA,Y,NA,-1,71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5146,MAPLE,51,NA,NA,5142,MAPLE,0,0
