MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-05,01/01/2010 00:01,Y,NA,NA,1,51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1420,ACADEMY AVE,51,NA,MULTI-FAMILY UNIT,1420,ACADEMY,887263.2,1030324
2010-05,01/01/2010 00:01,Y,NA,NA,1,71040,3,AUTO THEFT-PERM RETNT/ATTEMPT,2840,WISCONSIN AVE,22,ST. AGNES APARTMENTS,NA,2840,WISCONSIN,900534.4,1007647
2010-05,01/01/2010 00:01,Y,NA,NA,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4100,CALIFORNIA AVE,16,NA,NA,4100,CALIFORNIA,896726.9,1000548
2010-05,01/01/2010 01:04,NA,Y,NA,-1,41011,7,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5000,CABANNE,51,NA,NA,NA,NA,0,0
2010-05,01/01/2010 12:00,Y,NA,NA,1,92000,3,SIMPLE ASSAULT-HARRASSMENT,3616,HOLT AVE,15,NA,NA,3616,HOLT,889455.5,1004457
2010-05,01/01/2010 17:08,Y,NA,NA,1,67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4466,WEST PINE BLVD,38,NA,ALIAS 4466 W PINE,4466,WEST PINE,889566.1,1022107
2010-05,01/07/2010 00:01,Y,NA,NA,1,43026,7,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1419,BELT AVE,78,NA,NA,1419,BELT,884696.8,1031575
2010-05,01/12/2010 12:22,Y,NA,NA,1,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5505,FYLER AVE,14,NA,NA,5505,FYLER,882514,1007822
2010-05,01/13/2010 10:43,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7859,RIO SILVA PL,1,NA,NA,7859,RIO SILVA,886076.9,989891.7
2010-05,01/15/2010 14:27,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,915,WILMINGTON AVE,1,NA,NA,915,WILMINGTON,890800.4,994469.5
2010-05,01/15/2010 14:46,Y,NA,NA,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5510,LISETTE AVE,6,NA,NA,5510,LISETTE,880331.8,998426.8
2010-05,01/23/2010 08:00,Y,NA,NA,1,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5017,GERALDINE AVE,71,NA,NA,5017,GERALDINE,892503.3,1040195
2010-05,02/01/2001 00:01,Y,NA,NA,1,91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2320,S 10TH ST,21,NA,NA,935,MARYVILLE,903849.3,1009012
2010-05,02/01/2009 00:01,Y,NA,NA,1,21000,5,RAPE -- FORCIBLE,3900,N FLORISSANT AVE,65,NA,NA,3900,FLORISSANT,904067.5,1030282
2010-05,02/01/2010 08:00,Y,NA,NA,1,91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,5937,PAMPLIN AVE,73,NA,NA,5937,PAMPLIN,891587.3,1048531
2010-05,02/11/2010 12:23,NA,NA,Y,1,10000,6,HOMICIDE,6027,FLORISSANT,73,NA,NA,6000,FLORISSANT,0,0
2010-05,02/11/2010 12:23,NA,NA,Y,-1,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6027,FLORISSANT,73,NA,NA,6000,FLORISSANT,0,0
2010-05,02/13/2010 20:00,Y,NA,NA,1,179100,3,RISKING INFECTION OF ANOTHER BY HIV,900,ALLEN AVE,21,NA,NA,900,ALLEN,904302.4,1010326
2010-05,02/15/2010 12:00,Y,NA,NA,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5221,GILMORE AVE,72,NA,NA,5221,GILMORE,890606,1044159
2010-05,02/15/2010 16:30,Y,NA,NA,1,43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3802,ASHLAND AVE,59,NA,NA,3802,ASHLAND,899534.8,1029443
