MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-11,01/01/1996 00:01,Y,NA,NA,1,172300,3,SEX OFFNS-STATUATORY SODOMY/FIRST,2600,RUSSELL BLVD,24,NA,NA,2600,RUSSELL,899632.3,1011604
2010-11,01/01/2001 13:15,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4407,PENNSYLVANIA AVE,17,NA,NA,4407,PENNSYLVANIA,895245.1,998731.8
2010-11,01/01/2002 00:01,Y,NA,NA,1,177000,1,SEX OFFNS-INCEST,4100,CONCORDIA AVE,5,NA,NA,1200,CLARK,886274.1,997820.6
2010-11,01/01/2009 06:25,Y,NA,NA,1,51111,9,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,4424,LACLEDE,38,NA,NA,4424,LACLEDE,0,0
2010-11,01/01/2010 08:20,Y,NA,NA,1,112010,2,FRAUD-CREDIT DEVICE/OVER $150,6413,LLOYD AVE,42,NA,NA,6413,LLOYD,878998.1,1016122
2010-11,01/01/2010 10:15,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7121,MINNESOTA AVE,1,NA,NA,7121,MINNESOTA,889823.2,989927.4
2010-11,01/01/2010 11:37,Y,NA,NA,1,121000,0,EMBEZZLEMENT-VALUE OVER $150,1500,S 2ND ST,0,NA,NA,1500,2ND,0,0
2010-11,01/09/2003 00:01,Y,NA,NA,1,172100,3,SEX OFFNS-SODOMY/FORCIBLE,3000,WYOMING ST,30,NA,NA,3000,WYOMING,896638.3,1006736
2010-11,01/18/2007 12:00,Y,NA,NA,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5784,W FLORISSANT AVE,72,NA,NA,5784,FLORISSANT,892159.6,1045428
2010-11,01/18/2010 19:00,NA,NA,Y,1,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2245,KINGSHIGHWAY,12,XTREME AUTOMOTIVE,NA,2245,KINGSHIGHWAY,0,0
2010-11,01/18/2010 19:00,NA,NA,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2245,KINGSHIGHWAY,12,XTREME AUTOMOTIVE,NA,2245,KINGSHIGHWAY,0,0
2010-11,01/25/2010 08:00,Y,NA,NA,1,69702,7,LARCENY-ALL OTHER UNDER $500,1307,GOODFELLOW BLVD,78,OMAR FOOD SHOP,NA,1307,GOODFELLOW,882147.4,1031905
2010-11,01/26/2010 01:00,NA,NA,Y,1,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2245,KINGSHIGHWAY,12,XTREME AUTOMOTIVE,NA,2245,KINGSHIGHWAY,0,0
2010-11,01/26/2010 01:00,NA,NA,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2245,KINGSHIGHWAY,12,XTREME AUTOMOTIVE,NA,2245,KINGSHIGHWAY,0,0
2010-11,01/29/2010 12:00,Y,NA,NA,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5241,ALCOTT AVE,72,NA,NA,5241,ALCOTT,892295.1,1042033
2010-11,02/01/2010 00:01,Y,NA,NA,1,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",5032,ALCOTT AVE,72,NA,NA,5032,ALCOTT,891642.3,1041354
2010-11,02/02/2010 10:00,Y,NA,NA,1,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3844,MISSOURI AVE,18,NA,APARTMENT,3844,MISSOURI,898907.9,1001777
2010-11,02/28/2010 19:00,NA,NA,Y,-1,21000,1,RAPE -- FORCIBLE,NA,NA,16,NA,NA,NA,NA,0,0
2010-11,03/08/2010 13:30,NA,NA,Y,1,241100,7,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5700,MAFFITT,50,NA,NA,NA,NA,0,0
2010-11,03/08/2010 13:30,NA,NA,Y,-1,91113,7,SIMPLE ASSAULT-ADULT/NO INJURY,5700,MAFFITT,50,NA,NA,NA,NA,0,0
