MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-08,01/01/2003 00:01,Y,NA,NA,1,21000,1,RAPE -- FORCIBLE,3800,GUSTINE AVE,16,NA,NA,3800,GUSTINE,891073.2,1003354
2013-08,01/01/2007 00:01,Y,NA,NA,1,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",911,HICKORY ST,34,NA,NA,1200,CLARK,906170.1,1013370
2013-08,01/01/2008 00:01,Y,NA,NA,1,21000,7,RAPE -- FORCIBLE,5800,ROMAINE PL,78,NA,NA,NA,NA,882170.4,1032603
2013-08,01/01/2009 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3457,CHIPPEWA ST,19,NA,NA,3457,CHIPPEWA,893981.4,1003144
2013-08,01/01/2013 00:01,Y,NA,NA,1,21000,7,RAPE -- FORCIBLE,5300,CABANNE AVE,49,NA,NA,5300,CABANNE,884651.4,1028546
2013-08,01/01/2013 00:01,Y,NA,NA,1,21000,7,RAPE -- FORCIBLE,5300,CABANNE AVE,49,NA,NA,5300,CABANNE,884651.4,1028546
2013-08,01/01/2013 18:06,Y,NA,NA,1,242000,2,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,6369,SUTHERLAND AVE,8,NA,NA,6369,SUTHERLAND,877455.1,1004273
2013-08,01/02/2013 00:01,Y,NA,NA,1,21000,9,RAPE -- FORCIBLE,3200,BELL AVE,77,NA,NA,3200,BELL,898962.3,1022444
2013-08,01/15/2013 12:00,Y,NA,NA,1,67601,8,"LARCENY-FROM BUILDING $500 - $24,999",4304,COOK AVE,58,NA,NA,4304,COOK,892999,1026345
2013-08,01/26/2011 17:42,NA,Y,NA,-1,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5029,ALEXANDER,5,NA,NA,5031,ALEXANDER,0,0
2013-08,02/01/2006 10:56,Y,NA,NA,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4233,ELLENWOOD AVE,5,NA,NA,4233,ELLENWOOD,887640.3,1002025
2013-08,02/01/2013 10:38,Y,NA,NA,1,264100,6,HEALTH-SANITATION VIOL,862,CANAAN AVE,74,NA,NA,862,CANAAN,896856.8,1051177
2013-08,02/02/2013 08:00,Y,NA,NA,1,69702,5,LARCENY-ALL OTHER UNDER $500,3225,GREER AVE,59,NA,NA,1200,CLARK,900718.3,1028288
2013-08,02/08/2013 15:00,Y,NA,NA,1,73413,3,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,2200,DOLMAN ST,21,NA,NA,2200,DOLMAN,902430.2,1010031
2013-08,02/13/2013 16:19,Y,NA,NA,1,264100,6,HEALTH-SANITATION VIOL,1023,GARTH AVE,74,NA,NA,1023,GARTH,896229.9,1048462
2013-08,02/15/2012 12:00,Y,NA,NA,1,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0,NA,NA,4442,CARTER,0,0
2013-08,02/28/2013 16:14,Y,NA,NA,1,264100,3,HEALTH-SANITATION VIOL,3701,WISCONSIN AVE,18,NA,NA,3701,WISCONSIN,899756.5,1002901
2013-08,03/01/2013 05:00,Y,NA,NA,1,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1717,SUBLETTE AVE,12,FAZIO BAKERY,NA,1717,SUBLETTE,882606.4,1014543
2013-08,03/01/2013 08:47,Y,NA,NA,1,111110,2,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,6487,MANCHESTER AVE,43,COLOMBO S CHECK CASHING,NA,6487,MANCHESTER,878180.7,1014948
2013-08,03/04/2013 09:14,Y,NA,NA,1,264100,6,HEALTH-SANITATION VIOL,7735,FORDEY ST,74,NA,NA,7735,FORDEY,897635.2,1045913
