MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-02,01/01/2011 10:00,Y,NA,NA,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5916,LALITE AVE,76,NA,NA,5916,LALITE,889578.8,1044325
2013-02,01/01/2013 00:01,Y,NA,NA,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4400,OSCEOLA ST,5,NA,NA,4400,OSCEOLA,886911.6,1003396
2013-02,01/01/2013 00:30,NA,Y,NA,-1,41011,9,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,NA,UNKNOWN,0,NA,NA,NA,NA,0,0
2013-02,01/01/2013 06:00,Y,NA,NA,1,65701,9,LARCENY-MTR VEH PARTS UNDER $500,2737,PAPIN ST,37,NA,NA,2737,PAPIN,899734.8,1016209
2013-02,01/01/2013 08:00,Y,NA,NA,1,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3230,LIBERTY ST,16,NA,VACANT BANK OWNED PROPERTY,3230,LIBERTY,893625.4,996634.1
2013-02,01/01/2013 08:00,Y,NA,NA,1,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4640,S GRAND BLVD,16,NA,NA,4640,GRAND,892262.8,998532.7
2013-02,01/01/2013 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2747,GEYER AVE,24,NA,NA,2747,GEYER,0,0
2013-02,01/01/2013 08:00,Y,NA,NA,1,69602,1,"LARCENY-ALL OTHER $500 - $24,999",3000,MOUNT PLEASANT ST,17,NA,REAR,3000,MOUNT PLEASANT,895085.6,997432
2013-02,01/01/2013 14:00,Y,NA,NA,1,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,800,WASHINGTON AVE,35,NA,NA,800,WASHINGTON,908187.4,1018534
2013-02,01/01/2013 18:00,Y,NA,NA,1,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5681,HILLER PL,76,NA,NA,5681,HILLER,890939.9,1047275
2013-02,01/02/2013 09:00,Y,NA,NA,1,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3704,PALM ST,59,NA,NA,3704,PALM,900264.6,1029576
2013-02,01/02/2013 15:30,Y,NA,NA,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1440,KEALTY LN,33,PEABODY APTS,NA,1440,KEALTY,904158.9,1014077
2013-02,01/03/2013 08:00,Y,NA,NA,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1716,COCHRAN PL,61,OFALLON PLACE APTS,NA,1716,COCHRAN,905432.7,1022657
2013-02,01/03/2013 14:21,Y,NA,NA,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1448,CHOUTEAU AVE,33,PEABODY APTS,NA,1448,CHOUTEAU,904053.8,1013944
2013-02,01/03/2013 20:30,Y,NA,NA,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1919,OFALLON ST,61,CAHILL HOUSE,NA,1919,OFALLON,904538.2,1022258
2013-02,01/04/2013 01:45,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4315,CALIFORNIA AVE,17,NA,NUISANCE PROPERTY,4315,CALIFORNIA,896315.9,999167.4
2013-02,01/04/2013 11:33,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2831,MERAMEC,17,NA,NA,2831,MERAMEC,0,0
2013-02,01/04/2013 15:29,NA,NA,Y,1,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",300,TESSON,2,NA,NA,300,TESSON,0,0
2013-02,01/04/2013 15:29,NA,NA,Y,-1,64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,300,TESSON,2,NA,NA,300,TESSON,0,0
2013-02,01/04/2013 18:00,Y,NA,NA,1,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5001,TENNESSEE AVE,16,NA,VACANT RESIDENCE,5001,TENNESSEE,891685.3,997371.4
