MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-03,01/01/2003 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3954,SHAW AVE,27,NA,NA,3954,SHAW,892451.4,1013068
2013-03,01/01/2005 12:00,Y,NA,NA,1,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5029,DURANT AVE,71,NA,NA,5029,DURANT,892941.7,1039736
2013-03,01/01/2005 12:53,Y,NA,NA,1,21000,1,RAPE -- FORCIBLE,6700,VERMONT AVE,1,NA,NA,6700,VERMONT,890020.9,991651.1
2013-03,01/01/2006 12:34,Y,NA,NA,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5385,REBER PL,13,NA,NA,5385,REBER,883494.1,1010626
2013-03,01/01/2007 00:01,NA,Y,NA,-1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4115,MCPHERSON,38,NA,NA,4115,MCPHERSON,0,0
2013-03,01/01/2011 00:01,Y,NA,NA,1,21000,1,RAPE -- FORCIBLE,2700,KEOKUK ST,16,NA,NA,2700,KEOKUK,897428.1,1001929
2013-03,01/01/2013 00:01,Y,NA,NA,1,67601,7,"LARCENY-FROM BUILDING $500 - $24,999",51,WESTMORELAND PL,38,NA,NA,51,WESTMORELAND,884842.3,1024435
2013-03,01/01/2013 00:01,Y,NA,NA,1,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4716,LOUISIANA AVE,16,NA,NA,4716,LOUISIANA,892453.9,997520.3
2013-03,01/01/2013 00:01,Y,NA,NA,1,91124,8,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2601,WHITTIER ST,57,HOMER G PHILLIPS SENIOR LIVING,NA,2601,WHITTIER,895657.7,1028977
2013-03,01/01/2013 00:04,Y,NA,NA,1,21000,9,RAPE -- FORCIBLE,600,N EUCLID AVE,38,NA,NA,600,EUCLID,888580.9,1025734
2013-03,01/01/2013 08:00,Y,NA,NA,1,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4229,S GRAND BLVD,16,NA,NA,4229,GRAND,893088.6,1000204
2013-03,01/01/2013 10:00,Y,NA,NA,1,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2601,BROADWAY,64,NA,NA,2601,BROADWAY,0,0
2013-03,01/01/2013 12:00,Y,NA,NA,1,67701,1,LARCENY-FROM BUILDING UNDER $500,529,EILER ST,1,NA,NA,529,EILER,892697.1,995344.4
2013-03,01/01/2013 21:00,NA,Y,NA,-1,65701,8,LARCENY-MTR VEH PARTS UNDER $500,NA,NA,56,NA,NA,NA,NA,0,0
2013-03,01/02/2013 07:21,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7405,MICHIGAN AVE,2,NA,NUISANCE PROPERTY,7405,MICHIGAN,889108.1,989447.9
2013-03,01/03/2013 02:00,NA,NA,Y,1,10000,6,HOMICIDE,1034,TILLIE,74,NA,BASEMENT,1034,TILLIE,0,0
2013-03,01/03/2013 02:35,Y,NA,NA,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6109,GRAVOIS AVE,6,NELLIE GLENNS,NUSIANCE PROPERTY,6109,GRAVOIS,883769.1,998612.4
2013-03,01/04/2013 15:30,Y,NA,NA,1,67701,6,LARCENY-FROM BUILDING UNDER $500,4333,GOODFELLOW BLVD,70,JOB CORPS OF ST LOUIS MO,CLASSROOM,4333,GOODFELLOW,886191.1,1040939
2013-03,01/05/2013 07:00,Y,NA,NA,1,69702,4,LARCENY-ALL OTHER UNDER $500,927,PARK AVE,34,NA,NA,927,PARK,905789.8,1012531
2013-03,01/05/2013 08:00,Y,NA,NA,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3971,BOTANICAL AVE,27,NA,NA,3971,BOTANICAL,892013.3,1010945
