Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-016789,2018-04,01/01/2015 08:00,Y,NA,NA,1,NA,91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3401,HUMPHREY ST,25,NA,NA,243,RIPA,894880.7,1006677
18-018797,2018-04,01/01/2015 15:28,Y,NA,NA,1,NA,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON AVE,59,NA,@CPD,919,JEFFERSON,902219.7,1021301
18-017473,2018-04,01/01/2016 00:01,Y,NA,NA,1,NA,175400,3,SEX OFFNS-SX MISCONDUCT/SECOND,3700,S COMPTON AVE,19,NA,NA,3700,COMPTON,0,0
18-014919,2018-04,01/01/2017 12:00,Y,NA,NA,1,NA,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1026,VERONICA AVE,74,NA,NA,1026,VERONICA,896036.3,1050295
18-017915,2018-04,01/01/2018 07:32,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5461,DELMAR BLVD,49,NA,NA,5461,DELMAR,883561.5,1027076
18-018273,2018-04,01/01/2018 08:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4843,FARLIN AVE,69,NA,NA,4843,FARLIN,893066,1035691
18-017912,2018-04,01/02/2018 12:50,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53,NA,NA,711,EUCLID,888503.4,1026317
18-017908,2018-04,01/03/2018 09:40,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51,NA,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
18-017910,2018-04,01/03/2018 17:10,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38,NA,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-017906,2018-04,01/04/2018 18:45,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38,NA,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
18-017907,2018-04,01/04/2018 23:09,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38,NA,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
18-017909,2018-04,01/06/2018 14:27,Y,NA,NA,1,NA,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38,NA,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-019076,2018-04,01/10/2018 21:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3414,MANHATTAN AVE,10,NA,NA,3414,MANHATTAN,872918.3,1008689
18-015880,2018-04,01/11/2018 01:55,Y,NA,NA,1,NA,122000,6,EMBEZZLEMENT-VALUE UNDER $150,1105,RIVERVIEW BLVD,74,NA,NA,1105,RIVERVIEW,895409.7,1052273
18-019232,2018-04,01/11/2018 19:03,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2017,E OBEAR AVE,66,NA,NA,2017,OBEAR,903209.7,1033402
18-019236,2018-04,01/12/2018 13:55,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4445,ATHLONE AVE,68,NA,NA,4445,ATHLONE,898336.7,1035383
18-019234,2018-04,01/13/2018 00:02,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4848,BESSIE AVE,69,NA,NA,4848,BESSIE,893562.6,1036678
18-014868,2018-04,01/14/2018 15:00,Y,NA,NA,1,NA,52312,6,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4525,N EUCLID AVE,71,NA,NA,4525,EUCLID,893679.6,1038619
18-002251,2018-04,01/14/2018 20:00,NA,NA,NA,1,NA,263120,4,OBSTRUCT GOVRN OP-FALSE REPORT,3634,DELMAR,77,NA,NA,1007,VANDEVENTER,0,0
18-002251,2018-04,01/14/2018 20:00,NA,NA,NA,-1,NA,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3634,DELMAR,77,NA,NA,1007,VANDEVENTER,0,0
