Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-039745,2018-08,01/01/2018 16:00,Y,NA,NA,1,NA,65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0,NA,NA,3516,ILLINOIS,0,0
18-037186,2018-08,01/07/2018 08:00,Y,NA,NA,1,NA,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4014,UNION BLVD,70,NA,@NORTH PATROL DIVISION,4014,UNION,890074.4,1037079
18-040825,2018-08,01/10/2018 10:00,Y,NA,NA,1,NA,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,4453,NEBRASKA AVE,17,NA,NA,4453,NEBRASKA,895502.1,998249.7
18-038219,2018-08,01/31/2018 01:00,Y,NA,NA,1,NA,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3114,FRANKLIN AVE,59,NA,NA,3114,FRANKLIN,899509.6,1021943
18-040361,2018-08,02/01/2016 08:00,Y,NA,NA,1,NA,65701,6,LARCENY-MTR VEH PARTS UNDER $500,7557,HALL ST,74,PICK N PULL,NA,7557,HALL,898564.8,1045187
16-006584,2018-08,02/09/2016 23:15,NA,NA,NA,-1,NA,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3979,RANDALL,5,NA,NA,3979,RANDALL,0,0
18-033739,2018-08,02/23/2017 09:00,Y,NA,NA,1,NA,92000,5,SIMPLE ASSAULT-HARRASSMENT,4335,MARYLAND AVE,38,NA,NA,4355,MARYLAND,891584.3,1022814
18-038746,2018-08,02/23/2018 09:30,Y,NA,NA,1,NA,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8426,N BROADWAY,74,NA,NA,8426,BROADWAY,897443.7,1049650
18-041626,2018-08,02/23/2018 19:30,Y,NA,NA,1,NA,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4557,DR MARTIN LUTHER KING DR,56,NA,RESIDENCE/ HOME,4557,DR MARTIN LUTHER KING,891679.1,1028851
18-040809,2018-08,02/27/2018 21:00,Y,NA,NA,1,NA,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",2223,SUBLETTE AVE,12,NA,NA,2223,SUBLETTE,882793.2,1012710
18-038178,2018-08,03/05/2018 00:01,Y,NA,NA,1,NA,171200,6,SEX OFFNS-STATUATORY RAPE/FIRST,4600,LEXINGTON AVE,56,NA,NA,1900,OLIVE,0,0
18-038569,2018-08,03/10/2015 15:30,Y,NA,NA,1,NA,43026,6,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4633,POPE AVE,69,NA,NA,5426,UNION,898127.1,1036586
18-038569,2018-08,03/10/2015 15:30,Y,NA,NA,1,NA,91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4633,POPE AVE,69,NA,NA,5426,UNION,898127.1,1036586
18-040914,2018-08,03/17/2017 12:00,Y,NA,NA,1,NA,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3509,ILLINOIS AVE,18,NA,NA,3509,ILLINOIS,899432.7,1004075
18-036926,2018-08,04/03/2018 08:00,Y,NA,NA,1,NA,73413,4,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,430,S 15TH ST,36,GREYHOUND BUS STATION,NA,430,15TH,904845.8,1016613
18-038493,2018-08,04/12/2017 13:00,Y,NA,NA,1,NA,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,6036,LUCILLE AVE,76,NA,NA,6000,LUCILLE,889929.8,1045618
18-016499,2018-08,04/13/2018 12:00,NA,NA,NA,-1,NA,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1401,CLARK,36,NA,: @SCOTTRADE CENTER,1401,CLARK,0,0
18-035562,2018-08,04/13/2018 15:09,Y,NA,NA,1,NA,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3606,MONTANA ST,16,NA,NA,3606,MONTANA,893193.1,1001425
18-038002,2018-08,04/15/2018 12:30,Y,NA,NA,1,NA,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1449,N 14TH ST,61,NA,NUISANCE ABATEMENT PROPERTY,1449,14TH,906936.6,1022417
18-035745,2018-08,04/16/2018 12:24,Y,NA,NA,1,NA,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4905,MINNESOTA AVE,17,NA,NA,4905,MINNESOTA,894370.7,995910.2
