Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-061022,2018-12,01/01/2015 00:01,NA,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4100,CARTER,68,NA,NA,4100,CARTER,0,0
18-057786,2018-12,01/01/2018 00:01,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1600,PINE ST,36,NA,NA,1600,PINE,0,0
18-059860,2018-12,01/01/2018 15:41,Y,NA,NA,1,NA,67701,3,LARCENY-FROM BUILDING UNDER $500,3512,ILLINOIS AVE,18,NA,NA,3512,ILLINOIS,899614.2,1003996
19-000484,2018-12,01/02/2018 19:15,Y,NA,NA,1,NA,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3523,BINGHAM AVE,16,NA,NA,3523,BINGHAM,893494.5,999826.4
18-051979,2018-12,01/15/2016 21:00,Y,NA,NA,1,NA,171200,5,SEX OFFNS-STATUATORY RAPE/FIRST,5800,MCPHERSON AVE,46,NA,NA,5800,MCPHERSON,0,0
18-057324,2018-12,01/17/2018 07:36,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-060522,2018-12,01/18/2009 00:01,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,4600,EICHELBERGER ST,5,NA,NA,6000,RIVERVIEW,0,0
18-002847,2018-12,01/18/2018 16:36,Y,NA,NA,1,NA,183250,5,DRUGS-SALE/COCAINE,5611,ENRIGHT AVE,48,NA,NA,5611,ENRIGHT,882262.8,1027291
18-057771,2018-12,02/09/2004 12:57,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
16-054199,2018-12,03/01/2016 00:01,NA,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1900,OLIVE,36,NA,NA,1900,OLIVE,0,0
19-000202,2018-12,03/01/2018 09:47,Y,NA,NA,1,NA,69602,6,"LARCENY-ALL OTHER $500 - $24,999",4716,SAN FRANCISCO AVE,69,NA,NA,4716,SAN FRANCISCO,893338.4,1034598
18-059496,2018-12,03/05/2018 12:00,Y,NA,NA,1,NA,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",8123,REILLY AVE,2,NA,NA,8123,REILLY,888869.6,986126.4
19-000116,2018-12,03/14/2016 00:01,Y,NA,NA,1,NA,175400,6,SEX OFFNS-SX MISCONDUCT/SECOND,4900,PENROSE ST,69,NA,NA,4900,PENROSE,0,0
18-012262,2018-12,03/16/2018 15:20,Y,NA,NA,1,NA,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,3035,CASS AVE,59,VASHON HIGH SCHOOL,@SCHOOL - VASHON HIGH,3035,CASS,899825.3,1024601
18-058511,2018-12,03/20/2018 08:03,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-058566,2018-12,03/21/2016 12:03,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-058645,2018-12,03/27/2018 19:23,Y,NA,NA,1,NA,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3509,SHENANDOAH AVE,25,NA,NA,3509,SHENANDOAH,894828.5,1011016
18-057343,2018-12,04/01/2013 08:47,Y,NA,NA,1,NA,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3830,NEBRASKA AVE,16,NA,NA,3830,NEBRASKA,896342.1,1002325
18-057218,2018-12,04/01/2018 08:00,Y,NA,NA,1,NA,242000,5,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,35,WESTMORELAND PL,38,NA,NA,35,WESTMORELAND,885607.9,1024338
18-059959,2018-12,04/06/2018 09:20,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
