Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-008084,2018-02,01/01/1991 00:01,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,5800,ITASKA ST,8,NA,NA,5800,ITASKA,0,0
18-007453,2018-02,01/01/2012 14:37,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,2000,N 9TH ST,64,NA,NA,2000,9TH,0,0
18-006151,2018-02,01/01/2017 00:01,Y,NA,NA,1,NA,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",909,CHESTNUT ST,35,NA,NA,909,CHESTNUT,907590.3,1017463
18-008373,2018-02,01/01/2017 12:00,Y,NA,NA,1,NA,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1847,SWITZER AVE,73,NA,NA,1847,SWITZER,891122.2,1050151
18-007399,2018-02,01/01/2018 00:05,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1546,SWITZER AVE,73,NA,NA,1546,SWITZER,893345.3,1049202
18-005729,2018-02,01/01/2018 09:00,Y,NA,NA,1,NA,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4515,LINDELL BLVD,38,NA,NA,4515,LINDELL,889219.4,1023087
18-007226,2018-02,01/01/2018 09:18,Y,NA,NA,1,NA,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5305,DELOR ST,7,NA,NA,5305,DELOR,882246.5,1001348
18-007096,2018-02,01/01/2018 11:20,Y,NA,NA,1,NA,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND,59,NA,NUISANCE ABATEMENT PROPERTY,1400,N GRAND,0,0
18-008842,2018-02,01/01/2018 12:00,Y,NA,NA,1,NA,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,7125,S GRAND AVE,4,NA,NA,7125,GRAND,887738.4,991687.1
18-002353,2018-02,01/01/2018 12:00,NA,NA,NA,-1,NA,43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,4128,TURNER,68,NA,NA,4128,TURNER,0,0
18-000134,2018-02,01/01/2018 17:10,NA,NA,NA,1,NA,32211,5,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL,6131,KINGSBURY,46,NA,NA,6131,KINGSBURY,0,0
18-000134,2018-02,01/01/2018 17:10,NA,NA,NA,-1,NA,51111,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,6131,KINGSBURY,46,NA,NA,6131,KINGSBURY,0,0
18-000368,2018-02,01/03/2018 01:00,NA,NA,NA,-1,NA,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5345,LOUIS,50,NA,NA,5345,ST LOUIS,0,0
18-007897,2018-02,01/03/2018 12:35,Y,NA,NA,1,NA,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16,NA,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-000490,2018-02,01/03/2018 14:05,Y,NA,NA,1,NA,41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1031,WALL,74,NA,NA,1031,WALL,0,0
18-000490,2018-02,01/03/2018 14:05,Y,NA,NA,1,NA,41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1031,WALL,74,NA,NA,1031,WALL,0,0
18-006167,2018-02,01/04/2018 19:00,Y,NA,NA,1,NA,67701,4,LARCENY-FROM BUILDING UNDER $500,3701,LINDELL BLVD,77,NA,NA,3701,LINDELL,895417.8,1021428
18-005283,2018-02,01/04/2018 21:00,Y,NA,NA,1,NA,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3815,N 21ST ST,65,NA,GRANT IRON AND MOTORS INC,3815,21ST,904394.6,1029740
18-000705,2018-02,01/05/2018 02:00,NA,NA,NA,-1,NA,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4624,MACKLIND,7,NA,NA,5354,MACKLIND,0,0
18-002656,2018-02,01/05/2018 12:00,Y,NA,NA,1,NA,52322,5,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,3321,UNION BLVD,50,NA,NA,3321,UNION,888717.1,1035557
