Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-001804,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6431,IDAHO AVE,1,NA,ON STREET IN FRONT OF 6431 IDAHO,6431,IDAHO,890047.4,992586.3
18-002209,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5506,ETZEL AVE,48,NA,NA,5506,ETZEL,884087.5,1030426
18-000063,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2543,N GRAND BLVD,59,THE BOULEVARD,NA,2543,GRAND,899361.5,1026965
18-000018,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4000,DE TONTY ST,27,NA,NA,4000,DE TONTY,892323.3,1013550
18-000003,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3149,PESTALOZZI ST,25,NA,NA,3149,PESTALOZZI,896039.9,1008823
18-000132,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4901,HOOKE AVE,71,NA,NA,4901,HOOKE,894124.1,1038665
18-000010,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4711,WASHINGTON AVE,38,NA,SINGLE FAMILY HOME,4711,WASHINGTON,889258.8,1025742
18-000010,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4711,WASHINGTON AVE,38,NA,SINGLE FAMILY HOME,4711,WASHINGTON,889258.8,1025742
18-003411,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1405,PINE ST,36,NA,APARTMENT BUILDING,1405,PINE,905730.9,1018275
18-005259,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,67701,1,LARCENY-FROM BUILDING UNDER $500,4201,BEETHOVEN AVE,5,NA,NA,1015,PARK,887948.4,1002640
18-002998,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5207,ALABAMA AVE,1,NA,NA,5207,ALABAMA,892522.4,996015.9
18-000019,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4520,MARGARETTA AVE,69,NA,@ENGINE CO 26,4520,MARGARETTA,894773.6,1034124
18-000011,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2754,KEOKUK ST,16,NA,1ST FL,2754,KEOKUK,896896.8,1001859
18-000094,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3832,S BROADWAY,18,MOORE DESIGN GROUP,NA,3832,BROADWAY,898288.8,1002100
18-003208,2018-01,01/01/2018 00:01,Y,NA,NA,1,NA,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,CHOUTEAU AVE / S TUCKER BLVD,34,NA,NA,NA,NA,905532,1014351
18-000074,2018-01,01/01/2018 00:02,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2624,MICHIGAN AVE,25,NA,NA,2624,MICHIGAN,896516.4,1009718
18-000006,2018-01,01/01/2018 00:05,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1546,SWITZER AVE,73,NA,NA,1546,SWITZER,893345.3,1049202
18-000574,2018-01,01/01/2018 00:05,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,212,N KINGSHIGHWAY BLVD,38,NA,@HOTEL- CHASE PARK PLAZA ROOM #755,212,KINGSHIGHWAY,887710.9,1023513
18-000014,2018-01,01/01/2018 00:05,Y,NA,NA,1,NA,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,721,N 17TH ST,36,NA,NA,721,17TH,905047.1,1019783
18-000007,2018-01,01/01/2018 00:05,Y,NA,NA,1,NA,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,35,S GRAND BLVD,37,NA,CIRCLE K,NA,NA,896073.6,1019677
