Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-009431,2018-03,03/01/2018 08:50,Y,NA,NA,1,NA,10000,5,HOMICIDE,4229,W COTE BRILLIANTE AVE,57,NA,NA,4229,COTE BRILLIANTE,894410.9,1028080
18-009700,2018-03,03/01/2018 18:30,Y,NA,NA,1,NA,10000,4,HOMICIDE,3245,KNAPP ST,65,NA,NA,3245,KNAPP,905727.4,1027916
18-009971,2018-03,03/05/2018 00:45,Y,NA,NA,1,NA,10000,6,HOMICIDE,5318,SHREVE AVE,71,NA,@AMEREN - 158,4700,FLORISSANT,895308.8,1038155
18-010716,2018-03,03/09/2018 15:00,Y,NA,NA,1,NA,10000,5,HOMICIDE,924,PENDLETON AVE,58,NA,NA,926,PENDLETON,892611.9,1025417
18-010716,2018-03,03/09/2018 15:00,Y,NA,NA,1,NA,10000,5,HOMICIDE,924,PENDLETON AVE,58,NA,NA,926,PENDLETON,892611.9,1025417
18-010757,2018-03,03/10/2018 01:04,Y,NA,NA,1,NA,10000,3,HOMICIDE,4056,CALIFORNIA AVE,16,NA,NA,NA,NA,896718,1000689
18-011972,2018-03,03/17/2018 16:10,Y,NA,NA,1,NA,10000,5,HOMICIDE,4503,MCMILLAN AVE,54,NA,NA,NA,NA,891120.7,1026735
18-012030,2018-03,03/17/2018 23:19,Y,NA,NA,1,NA,10000,1,HOMICIDE,4528,NEBRASKA AVE,17,NA,STREET,4529,NEBRASKA,895610.9,997764.3
18-012080,2018-03,03/18/2018 09:19,Y,NA,NA,1,NA,10000,5,HOMICIDE,4012,GARFIELD AVE,56,NA,NA,4000,GARFIELD,896370.4,1027075
18-012231,2018-03,03/19/2018 10:26,Y,NA,NA,1,NA,10000,5,HOMICIDE,853,GOODFELLOW BLVD,48,NA,NA,853,GOODFELLOW,881199.8,1028552
18-012492,2018-03,03/20/2018 19:37,Y,NA,NA,1,NA,10000,5,HOMICIDE,5401,RIDGE AVE,78,NA,NA,NA,NA,885172.3,1030986
18-012955,2018-03,03/23/2018 20:10,Y,NA,NA,1,NA,10000,5,HOMICIDE,2821,N VANDEVENTER AVE,56,NA,MIDWEST PETROLEUM,2816,VANDEVENTER,898133.8,1028563
18-010486,2018-03,01/01/2018 09:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,1500,N 8TH ST,62,NA,NA,1500,8TH,0,0
18-006423,2018-03,02/10/2018 05:46,NA,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4900,CARTER,69,NA,NA,4900,CARTER,0,0
18-008861,2018-03,02/23/2018 13:00,Y,NA,NA,1,NA,21000,4,RAPE -- FORCIBLE,3000,WASHINGTON AVE,37,NA,SALVATION ARMY APARTMENTS,4900,NA,0,0
18-008695,2018-03,02/24/2018 01:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,7000,WEIL AVE,9,NA,APT 207,7000,WEIL,0,0
18-011716,2018-03,02/25/2018 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,4300,PAGE BLVD,58,NA,NA,4000,UNION,0,0
18-009525,2018-03,03/01/2018 16:00,Y,NA,NA,1,NA,21000,2,RAPE -- FORCIBLE,0,TOWER GROVE PARK,81,NA,@TOWER GROVE PARK,NA,NA,0,0
18-010979,2018-03,03/10/2018 19:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,6900,VERMONT AVE,1,NA,NA,6900,VERMONT,0,0
18-011110,2018-03,03/11/2018 19:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5000,DR MARTIN LUTHER KING DR,53,NA,EXACT LOCATION UNKNOWN,5100,COTE BRILLIANTE,0,0
