Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-016789,2018-05,01/01/2015 08:00,NA,NA,NA,1,NA,23000,0,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,3400,HUMPHREY,0,NA,NA,200,RIPA,0,0
18-016789,2018-05,01/01/2015 08:00,NA,NA,NA,-1,NA,91124,0,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3401,HUMPHREY,0,NA,NA,243,RIPA,0,0
18-021847,2018-05,01/01/2017 00:01,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,5900,PAGE BLVD,78,NA,NA,5900,PAGE,0,0
18-023887,2018-05,01/01/2017 12:00,Y,NA,NA,1,NA,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4892,ANDERSON AVE,69,NA,NA,4892,ANDERSON,893350.3,1037162
18-021714,2018-05,01/03/2016 12:30,Y,NA,NA,1,NA,44011,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 1ST DEGRE",2319,ESTHER AVE,11,NA,NA,2319,ESTHER,880315,1012848
18-020603,2018-05,01/05/2018 17:34,Y,NA,NA,1,NA,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3648,BATES ST,3,NA,2ND FLR,3648,BATES,889936.9,996160.1
18-020522,2018-05,01/09/2018 11:06,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4739,GOODFELLOW BLVD,70,NA,NA,4739,GOODFELLOW,887043.9,1043351
18-001340,2018-05,01/09/2018 11:15,Y,NA,NA,1,NA,183250,4,DRUGS-SALE/COCAINE,0,N GRAND BLVD / MONTGOMERY ST,59,NA,NA,NA,NA,899404.5,1026696
18-019842,2018-05,01/12/2018 14:50,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3719,N EUCLID AVE,69,NA,NA,3719,EUCLID,891964.5,1035004
16-001981,2018-05,01/13/2016 09:32,NA,NA,NA,1,NA,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON,35,MARRIOTT HOTEL,HERTZ,800,WASHINGTON,0,0
16-001981,2018-05,01/13/2016 09:32,NA,NA,NA,-1,NA,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,800,WASHINGTON,35,MARRIOTT HOTEL,HERTZ,800,WASHINGTON,0,0
18-024648,2018-05,01/15/2018 21:00,Y,NA,NA,1,NA,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4519,MCPHERSON AVE,38,NA,NA,4519,MCPHERSON,889838.6,1024327
18-021902,2018-05,01/15/2018 22:30,Y,NA,NA,1,NA,64701,2,LARCENY-FROM MTR VEH UNDER $500,4000,SHAW AVE,27,NA,NA,4000,SHAW,892115.9,1013111
18-023277,2018-05,01/17/2018 17:00,Y,NA,NA,1,NA,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5569,PAGE BLVD,78,NA,NA,5569,PAGE,883643.3,1030882
17-003653,2018-05,01/20/2017 13:15,NA,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5527,ERA,76,NA,NA,5527,ERA,0,0
17-003653,2018-05,01/20/2017 13:15,NA,NA,NA,-1,NA,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5527,ERA,76,NA,NA,5527,ERA,0,0
18-019828,2018-05,01/20/2018 08:50,Y,NA,NA,1,NA,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1110,WASHINGTON AVE,35,VANGUARD APARTMENTS,NA,1110,WASHINGTON,907161.8,1018819
18-020506,2018-05,01/20/2018 22:40,Y,NA,NA,1,NA,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4008,N KINGSHIGHWAY BLVD,69,NA,NA,4008,KINGSHIGHWAY,891746.9,1036176
18-014795,2018-05,01/28/2018 15:30,NA,NA,NA,1,NA,43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5017,GERALDINE,71,NA,RESIDENCE,5017,GERALDINE,0,0
18-014795,2018-05,01/28/2018 15:30,NA,NA,NA,-1,NA,91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,5017,GERALDINE,71,NA,RESIDENCE,5017,GERALDINE,0,0
