Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-048687,2018-10,01/01/1993 00:01,Y,NA,NA,1,NA,175500,1,SEX OFFNS-SX MISCONDUCT/FIRST,4400,ELLENWOOD AVE,5,NA,NA,4400,ELLENWOOD,0,0
18-051538,2018-10,01/01/1995 12:58,Y,NA,NA,1,NA,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3515,MORGANFORD RD,15,NA,NA,3515,MORGANFORD,887932.8,1005333
18-049197,2018-10,01/01/2010 12:00,Y,NA,NA,1,NA,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4603,GREER AVE,56,NA,NA,4603,GREER,893287.4,1032319
18-052108,2018-10,01/01/2018 08:00,Y,NA,NA,1,NA,67701,6,LARCENY-FROM BUILDING UNDER $500,5500,WREN AVE,72,NA,NA,5500,WREN,892338.3,1044309
18-045636,2018-10,01/01/2018 12:00,Y,NA,NA,1,NA,175500,4,SEX OFFNS-SX MISCONDUCT/FIRST,1500,DESTREHAN ST,65,NA,NA,1500,DESTREHAN,0,0
18-046720,2018-10,01/07/2018 00:01,Y,NA,NA,1,NA,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1445,N 16TH ST,61,NA,NA,919,JEFFERSON,905736.6,1022653
18-050247,2018-10,01/08/1996 10:52,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-049185,2018-10,01/08/1997 09:44,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-047408,2018-10,01/16/2018 10:00,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,2200,RUSSELL AVE,23,NA,@SCHOOL- MCKINELY LEADERSHIP ACADEMY,2200,RUSSELL,0,0
18-050409,2018-10,02/02/2018 12:30,Y,NA,NA,1,NA,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,1212,N 13TH ST,61,NA,NA,3831,KINGSHIGHWAY,907266.4,1021102
18-049592,2018-10,02/12/2018 11:59,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-048284,2018-10,02/12/2018 13:10,Y,NA,NA,1,NA,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1800,DICK GREGORY PL,56,NA,NA,1800,DICK GREGORY,891232.8,1029780
18-048284,2018-10,02/12/2018 13:10,Y,NA,NA,1,NA,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1800,DICK GREGORY PL,56,NA,NA,1800,DICK GREGORY,891232.8,1029780
18-049956,2018-10,02/17/2018 16:00,Y,NA,NA,1,NA,65701,2,LARCENY-MTR VEH PARTS UNDER $500,4444,VISTA AVE,39,NA,NA,4444,VISTA,888603.3,1015955
18-050872,2018-10,02/21/2018 19:17,Y,NA,NA,1,NA,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4242,W MAFFITT AVE,57,NA,NA,4242,MAFFITT,894866.4,1029912
18-010614,2018-10,03/03/2018 12:44,NA,NA,NA,-1,NA,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,3202,KINGSHIGHWAY,15,NA,: @HOME DEPOT,3202,KINGSHIGHWAY,0,0
18-048585,2018-10,03/14/2017 14:00,Y,NA,NA,1,NA,69702,1,LARCENY-ALL OTHER UNDER $500,8300,ALABAMA AVE,2,NA,NA,8300,ALABAMA,886180.3,987749.8
18-048313,2018-10,03/19/2018 15:48,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-012466,2018-10,03/20/2018 14:00,NA,NA,NA,-1,NA,51130,4,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,2831,GAMBLE,59,COMMUNITY ASSET APARTMENTS,NA,2831,GAMBLE,0,0
18-050403,2018-10,03/24/2017 07:58,Y,NA,NA,1,NA,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36,NA,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
